cod_geo,País,Sigla,Institución,Nombre de la Iniciativa,Área,"Política, Planes, Programas, Iniciativas/Proyectos",Fecha,Finalidad,Descripción,Link ,Link 2
CO,Colombia,CO,Policía Nacional ,Estrategia de prevención para convivencia sana en el hogar,Violencia Doméstica/VIF,Proyectos/Iniciativas,27/07/2020,Prevención,Campaña para Fortalecer relaciones familiares a través de la entrega de juegos lúdicos en zonas rurales. Entregar cerca 360 juegos de mesa de tipo familiar  a varias familias campesinas de diferentes zonas rurales de Colombia para fortalecer las relaciones familiares en torno a una actividad lúdica.,https://www.policia.gov.co/noticia/todos-contra-violencia-intrafamiliar,
CO,Colombia,CO,Consejería Presidencial para la Equidad de la Mujer,Estrategia de prevención para convivencia sana en el hogar,Violencia Doméstica/VIF,Proyectos/Iniciativas,01/07/2020,Integral,"Gobierno anuncia diferentes estrategias para la prevención y atención de la violencia contra la mujer, en especial:
- la instalación de una sala de control y monitoreo exclusiva para combatir crímenes de violencias en contra de las mujeres, liderada por la Policía Nacional y Consejería Presidencial para la Equidad de la Mujer; 
- monitoreo permanente de los casos de violencia de género para prevenir y castigar feminicidios, violencia intrafamiliar y sexual contra mujeres y niñas por parte del consejo de Seguridad Nacional;
- plataforma tecnológica con inteligencia artificial para prevención, atención y seguimiento a casos de violencias en contra de mujeres, alojada en el Observatorio Colombiano de las Mujeres de la Consejería Presidencial para la Equidad de la Mujer;
- unificación de las líneas telefónicas encargadas de atender el tema;
- decreto para formalizar el Mecanismo Articulador para planes y proyectos de todos los ministerios y entidades nacionales para la promoción y garantía de los derechos de las mujeres que permitan la prevención y atención de violencias. Implementará una campaña nacional contra el machismo como herramienta para la prevención de violencias en toda la sociedad colombiana;
- a radicar ante el Congreso de la República un proyecto de ley para el fortalecimiento de las comisarías de familia; 
- implementación de protocolos para la prevención y atención del acoso sexual en las universidades de la mano del Ministerio de Educación Nacional; y, 
- programa para la estabilización socioeconómica de las mujeres víctimas de violencias.",http://www.derechoshumanos.gov.co/Prensa/2020/Documents/%28v16-jul%29%20INFORME%20CONSOLIDADO%202%20%28Covid-19%29.pdf,
CR,Costa Rica,CR,Órgano Ejecutivo,Excepción de la aplicación de multas por incumplimiento de medidas sanitarias,Violencia Doméstica/VIF,Política/Ley,11/04/2020,Sanción,Excepción de la aplicación de multas por incumplimiento de medidas sanitarias.,https://www.imprentanacional.go.cr/pub/2020/04/11/ALCA83_11_04_2020.pdf,
CL,Chile,CL,Ministerio de la Mujer y la Equidad de Género,Femicidios,Violencia Doméstica/VIF,Productos/Recursos,30/06/2020,Información estadística,Estadísticas de femicidios.,https://www.sernameg.gob.cl/?page_id=27084,
EC,Ecuador,EC,Secretaría de Derechos Humanos,Femicidios por mes,Violencia Doméstica/VIF,Productos/Recursos,01/07/2020,Información estadística,Estadísticas de femicidios.,https://www.derechoshumanos.gob.ec/estadisticas-sobre-femicidios/,
PE,Perú,PE,Poder Judicial ,Feminicidio de Enero a Mayo del 2020,Violencia Doméstica/VIF,Productos/Recursos,01/05/2020,Información estadística,Estadísticas de feminicidios desde el 2018 al 2020 (acumulativo).,https://www.pj.gob.pe/wps/wcm/connect/9071820042c1cfa4a905bdbcb58708b2/feminix3+%281%29.pdf?MOD=AJPERES&CACHEID=9071820042c1cfa4a905bdbcb58708b2,
BR,Brasil,BR,"Ministerio de la Mujer, Familia y Derechos Humanos",Folleto de mulheres na COVID-19,Violencia Doméstica/VIF,Productos/Recursos,01/06/2020,Prevención,"Guía dirigida a mujeres con información sobre acciones preventivas y de emergencias en salud, acciones de refugio y denuncia ante situaciones de violencia contra la mujer y redes de apoyo para acceder al mercado laboral; en contexto de pandemia por COVID-19.",https://www.gov.br/mdh/pt-br/navegue-por-temas/politicas-para-mulheres/publicacoes-1/mulherescovid19_Alterado_corrigido_1407.pdf,
CR,Costa Rica,CR,"Instituto Nacional de las Mujeres, INAMU","Folleto informativo ""Seguimos pendiente de vos""",Violencia Doméstica/VIF,Proyectos/Iniciativas,08/05/2020,Atención y respuesta,"Folleto con información e indicaciones para atención en caso de sufrir violencia doméstica. La disponibilidad de los servicios continua de forma regular. Campaña, spot, radio. ",http://www.seguimospendientesdevos.inamu.go.cr/Seguimos-pendiente-de-vos-doc.pdf,https://www.mediafire.com/folder/hm1y7hlejzll9/Cu%C3%B1a
BR,Brasil,BR,Tribunal de Justicia del Distrito Federal y territorios,Folleto para hombres ,Violencia Doméstica/VIF,Productos/Recursos,15/07/2020,Prevención,"El folleto tiene por objetivo informar de la Ley Maria da Penha: obligaciones y derechos. El informativo contiene la historia de la ley Maria da Penha, los tipos de violencia caracterizados por la legislación, las medidas de protección de emergencia que contempla e información sobre la red de seguridad. Además, presenta información respecto de mitos  sobre la violencia doméstica contra las mujeres y actitudes prácticas que contribuyen a prevenir la violencia en las relaciones. La información brindada le permite a los lectores reflexionar sobre la construcción de nuevas formas de relación basadas en el diálogo y de un nuevo modelo de sociedad equitativa en materia de género.",https://www.tjdft.jus.br/institucional/imprensa/noticias/arquivos/cartilha-homens-4.pdf,
MX,México,MX,Comisión Nacional para Prevenir y Erradicar la Violencia contra las Mujeres (CONAVIM),"Folleto: ""Te cuento una buena historia. Mini-relatos de mujeres que superaron la violencia""",Violencia Doméstica/VIF,Productos/Recursos,01/06/2020,Prevención,Folleto que cuenta relatos de mujeres que han conseguido salir de ciclos de violencia. Narrado en primera persona y basado en experiencias reales. ,https://www.gob.mx/cms/uploads/attachment/file/560342/TECUENTOHOY_c.pdf,https://www.gob.mx/conavim/documentos/te-cuento-una-buena-historia-libro-digital
#N/D,Organismo Internacional ,OI,ONU Mujeres,"Guía de actuación para mujeres en situación de violencia de género, en Declaratoria de Cuarentena Total por COVID-19, en Bolivia",Violencia Doméstica/VIF,Productos/Recursos,-,Prevención,"Acciones de prevención, servicios y respuestas ante violencia contra la mujer, en Bolivia.",https://lac.unwomen.org/es/digiteca/publicaciones/2020/04/bolivia-guia-de-actuacion-para-mujeres-en-situacion-de-violencia,
BO,Bolivia ,BO,Servicio Plurinacional de la Mujer y de la Despatriarcalización “Ana María Romero”,"Guía de actuación para mujeres en situación de violencia de género, en Declaratoria de Cuarentena Total por el COVID-19, en Bolivia",Violencia Doméstica/VIF,Productos/Recursos,01/05/2020,Atención y respuesta,"Guía con información general de las instituciones especializadas para atender casos de violencia doméstica a nivel nacional, número telefónicos, asistencias jurídica, emocional y salud.",https://boliviasegura.gob.bo/archivos/GUIA-VIOLENCIA.pdf,
CL,Chile,CL,Ministerio de la Mujer y la Equidad de Género,"Guía de actuación: Recomendaciones para mujeres que viven violencia en situación de permanencia domiciliaria derivada del estado de alerta sanitaria
por COVID-19",Violencia Doméstica/VIF,Productos/Recursos,01/07/2020,Atención y respuesta,"Guía para comunicar de manera silenciosa abusos de violencia contra la mujer, establece los mecanismos de atención e instituciones donde acudir.",https://minmujeryeg.gob.cl/wp-content/uploads/2020/07/GUIA-DE-VIOLENCIA__MINMUJER.pdf,
CU,Cuba,CU,Federación de Mujeres Cubanas,Guía de intervención integral a la violencia de género e intrafamiliar en condiciones de aislamiento social o cuarentena ante COVID-19,Violencia Doméstica/VIF,Planes y Programas,03/07/2020,Integral,"Tiene como principio de trabajo la articulación y movilización de actores comunitarios bajo la dirección del Consejo Popular, o de Defensa de la Zona, en caso de estar activado.",http://www.mujeres.co.cu/art.php?MTM2ODg=,
PA,Panamá,PA,Instituto de la Mujer,"Guía de orientación para mujeres que se encuentren en situación de violencia doméstica, en el marco de la pandemia por COVID-19",Violencia Doméstica/VIF,Productos/Recursos,01/06/2020,Prevención,"Guía para orientación de acciones que pueden estar o sufren de violencia doméstica. Brinda información general sobre violencia doméstica, apoyo emocional, asesoramiento jurídico y lugares de asistencia. ",https://inamu.gob.pa/wp-content/uploads/2020/06/GUIA-3-F.pdf,https://inamu.gob.pa/wp-content/uploads/2020/03/COMUNICADO-corregido-pdf-copia.pdf 
CL,Chile,CL,Ministerio de la Mujer y la Equidad de Género,Guía de prevención de la violencia contra la mujer,Violencia Doméstica/VIF,Productos/Recursos,01/06/2020,Prevención,"Guía informativa que define violencia intrafamiliar, detalla los tipos de violencia contra la mujer, identifica señales de alerta temprana y dispone de los canales de apoyo y denuncia a las víctimas. ",https://iniciativaparidadgenero.cl/wp-content/uploads/2020/06/Gu%C3%ADa-de-prevenci%C3%B3n-de-la-violencia-contra-la-Mujer.pdf,
CL,Chile,CL,Superintendencia de Educación,"Guía informativa ""¿Qué hacer en caso de ciberbullying?""",Ciberbullying,Productos/Recursos,01/04/2019,Prevención,"Guía informativa sobre el ciberbullying: definición y acciones de prevención y denuncia para establecimientos educacionales, padres y apoderados, y estudiantes. ",https://www.supereduc.cl/wp-content/uploads/2019/03/CIBERBULLYING.pdf,
MX,México,MX,Instituto Nacional de las Mujeres,"Guía informativa ""No Estás Sola, Convivencia sin violencia""",Violencia Doméstica/VIF,Productos/Recursos,13/05/2020,Prevención,"Documento que permite identificar diversas situaciones sobre violencia familiar, describir el ciclo de la violencia y proporcionar información sobre lo que se puede hacer si se vive violencia o si otras mujeres viven violencia. Comisión Nacional para la prevenir y erradicar la violencia contra las mujeres. ",https://www.gob.mx/cms/uploads/attachment/file/551904/folleto__1_.pdf,https://www.gob.mx/conavim/documentos/campana-no-estas-sola
MX,México,MX,ONU Mujeres - Instituto Nacional de las Mujeres ,Guía informativa de Centros de Justicia para las Mujeres,Violencia Doméstica/VIF,Productos/Recursos,31/03/2020,Atención y respuesta,"Guía informativa de Centros de Justicia para las Mujeres: sus ubicaciones, horarios de atención en contingencia y tipo de servicios. ",https://www.gob.mx/cms/uploads/attachment/file/544677/Info_CJM_horarios_durante_Contingencia.pdf,
MX,México,MX,ONU Mujeres - Instituto Nacional de las Mujeres ,Guía para ayudar a crear espacios colaborativos en la vida diaria y durante la cuarentena por COVID-19. ,Violencia Doméstica/VIF,Productos/Recursos,20/04/2020,Prevención,"La guía presenta información sobre roles y recomendaciones para involucrar a los hombres en el cuidado de las personas que viven en la casa y construir relaciones más igualitarias. También, se incorporan postales e información sobre nuevas masculinidades.",https://www.gob.mx/cms/uploads/attachment/file/546960/GuiaMasculinidades.pdf,https://www.gob.mx/cms/uploads/image/file/577780/postales_masculinidades.png; https://www.gob.mx/cms/uploads/image/file/577776/Carrusel.png ; https://www.gob.mx/cms/uploads/image/file/577781/Preguntas-reflex.png
CR,Costa Rica,CR,Ministerio de Seguridad Pública,"Guía para la Fuerza Pública de Costa Rica para la protección de las personas con discapacidad contra la violencia intrafamiliar y en espacios públicos, en la emergencia del COVID-19",Violencia Doméstica/VIF,Proyectos/Iniciativas,01/03/2020,Atención y respuesta,"Guía para la Fuerza Pública de Costa Rica para la protección de las personas con discapacidad contra la violencia intrafamiliar y en espacios públicos, en la emergencia del COVID-19. ",https://www.seguridadpublica.go.cr/coronavirus/documentos/manual_institucional_prevencion_atencion_COVID-19.pdf,
SV,El Salvador,SV,Procuraduría General de la República,Guía para personas naturales sobre la remisión documentos correspondientes al pago de cuotas alimenticias,Violencia Doméstica/VIF,Proyectos/Iniciativas,31/03/2020,Atención y respuesta,Guía  a paso a paso para realizar los pagos de pensión alimenticia mientras dure la cuarentena. Establece el proceso de notificación a las autoridades y los correos del personal donde remitir la información según dependencia. ,http://www.informacionpublicapgr.gob.sv/descargables/BFA-PGR-PersonasNaturales.pdf,
HN,Honduras,HN,Instituto de la Mujer,Guía para sobrevivientes de violencia doméstica durante COVID-19,Violencia Doméstica/VIF,Proyectos/Iniciativas,12/05/2020,Atención y respuesta,"La guía enuncia las medidas tomadas para atender y proteger a las mujeres víctimas de la violencia doméstica. Pone a disposición números telefónicos de asistencia psicológica, legal, de casas de refugio, WhatsApp y comunica sobre medidas de acceso a la justicia. ",http://www.inam.gob.hn/web/index.php?option=com_phocadownload&view=file&id=146:violencia-covid-19&Itemid=110,
PA,Panamá,PA,Ministerio Público,Habilitación de correo electrónico y líneas telefónicas para atención de violencia doméstica y maltrato al menor,Violencia Doméstica/VIF,Proyectos/Iniciativas,12/04/2020,Atención y respuesta,El Ministerio Público habilita mecanismos que buscan facilitar el acceso a los servicios de las diferentes Fiscalías de Familia a nivel nacional para atender consultas y brindar asistencia a las personas víctimas de violencia doméstica y maltrato al menor de edad. ,https://ministeriopublico.gob.pa/mp-habilita-correo-electronico-y-lineas-telefonicas-para-atencion-de-violencia-domestica-y-maltrato-al-menor/,
CL,Chile,Cl,Instituto de la Juventud ,Hablemos de Todo,Ciberbullying,Proyectos/Iniciativas,01/07/2020,Atención y respuesta,"“Chat Hablemos de Todo”, de Injuv, para jóvenes de entre 15 y 29 años que quieran hablar de sus preocupaciones. Su objetivo es informar sobre autocuidado y bienestar a las y los jóvenes, a través de la entrega de información libre de estigmatización sobre temáticas asociadas a las conductas de autocuidado, iniciativas públicas disponibles, marcos normativos vigentes y derechos.",https://hablemosdetodo.injuv.gob.cl/bullying-y-ciberbullying/,
PY,Paraguay,PY,Ministerio de la Mujer y Poblaciones Vulnerables,Hackathon Kuña Mbaretech - Kuñanguérape g̃uarä,Violencia Doméstica/VIF,Proyectos/Iniciativas,15/04/2020,Prevención,"Hackathon enfocada en los desafíos de las mujeres y, al mismo tiempo, la primera realizada en formato 100% virtual. Uno de los pilares es la prevención de la violencia contra las mujeres. ",http://www.ciudadmujer.gov.py/index.php/noticias/la-hackathon-kuna-mbaretech-arranca-manana-de-forma-virtual,
PE,Perú,PE,Ministerio de la Mujer y Poblaciones Vulnerables,Ideatón: prevención de la violencia contra las mujeres,Violencia Doméstica/VIF,Proyectos/Iniciativas,02/07/2020,Prevención,"El evento tiene como objetivo crear un espacio para generar propuestas de innovación tecnológica para prevenir la violencia contra las mujeres y mejorar la atención a las víctimas, con énfasis en la prevención del feminicidio.",https://observatorioviolencia.pe/primera-ideaton-en-el-peru-prevencion-de-la-violencia-contra-las-mujeres/,
PA,Panamá,PA,Instituto de la Mujer,"INAMU Informa, Edición Abril ",Violencia Doméstica/VIF,Proyectos/Iniciativas,01/05/2020,Atención y respuesta,"Informe con medidas realizadas por el Instituto Nacional por la Mujer y otras instituciones públicas para enfrentar la violencia doméstica/VCM:
- Líneas telefónicas de red de instituciones protectoras. 
- Convenio con Crime Stoppers para presentar denuncias de forma anónima y alternativa. 
- Campaña NoEstásSola
Incluye información estadística sobre llamadas a números de emergencia.",https://inamu.gob.pa/wp-content/uploads/2020/05/BOLETIN-INAMU-copia-3.pdf,
PE,Perú,PE,Ministerio de la Mujer y Poblaciones Vulnerables,Infografía ¿Cómo supero Tatiana sus miedos y temores durante el aislamiento?,Violencia Doméstica/VIF,Productos/Recursos,10/05/2020,Prevención,Recomendaciones de mantener comunicación y conversar con la pareja para superar el estrés y la ansiedad durante la cuarentena.,https://observatorioviolencia.pe/wp-content/uploads/2020/05/comic2_final.jpg,
PE,Perú,PE,Ministerio de la Mujer y Poblaciones Vulnerables,"Infografía: ""Casos atendidos por los CEM según tipo de violencia, marzo de 2019 a marzo de 2020""",Violencia Doméstica/VIF,Productos/Recursos,01/04/2020,Información estadística,Infografía sobre casos atendidos por los CEM comparado los periodos de marzo 2019 vs 2020.,https://observatorioviolencia.pe/wp-content/uploads/2020/04/violencia-casos-atentido.jpeg,
MX,México,MX,Secretariado Ejecutivo del Sistema Nacional de Seguridad Pública ,"Infografía: ""Violencia familiar y de género ¿qué debo hacer? Principios de actuación""",Violencia Doméstica/VIF,Productos/Recursos,21/05/2020,Atención y respuesta,"Principios de actuación para los funcionarios que atienden por primera vez a una denunciante de violencia familia y de género. Establece la guía de actuación, evaluación de riesgo y acciones a tomar. ",https://www.gob.mx/cms/uploads/attachment/file/553307/infografia_1.violencia_familiar_y_de_genero.pdf,
PY,Paraguay,PY,Observatorio de la Mujer - Ministerio de la Mujer ,Información estadística sobre víctimas de femicidio,Violencia Doméstica/VIF,Productos/Recursos,01/08/2020,Información estadística,Estadísticas de violencia contra la mujer y datos geolocalizados actualizados a julio de 2020.,http://201.217.12.78/datos/,http://observatorio.mujer.gov.py/
BR,Brasil,BR,Ministerio de Justicia y Ciudadanía,Información sobre la atención en la Red Sistema Unificado de Asistencia Social (SUAS) de mujeres víctimas de violencia doméstica y familiar durante la Pandemia de COVID-19,Violencia Doméstica/VIF,Productos/Recursos,01/06/2020,Atención y respuesta,"Guía informativa sobre la Nota Técnica 25, ofrece recomendaciones generales para la atención de mujeres víctimas de violencia doméstica y familiar durante la pandemia por COVID-19.",https://www.gov.br/mdh/pt-br/assuntos/noticias/2020-2/junho/governo-federal-publica-orientacoes-para-atendimento-de-mulheres-em-situacao-de-violencia-no-suas/Informativo_violencia_contra_mulheres_n25_junho_2020_SNAS.pdf,
PA,Panamá,PA,Ministerio de Desarrollo Social ,Informe de acciones en el marco de la crisis de salud nacional por COVID-19,Violencia Doméstica/VIF,Proyectos/Iniciativas,01/06/2020,Atención y respuesta,"Alianzas con Más Móvil y Movistar para la divulgación por mensajería instantánea de los números telefónicos y correos electrónicos para denunciar la violencia doméstica y atención a la salud mental. Capacitaciones a equipos multidisciplinarios sobre prevención de violencias.
",https://www.mides.gob.pa/wp-content/uploads/2020/06/Informe-de-Acciones-COVID-19.pdf,https://inamu.gob.pa/wp-content/uploads/2020/04/INAMU-HABILITA-LINEA-DE-ORIENTACI%C3%93N-PARA-MUJERES-V%C3%8DCTIMAS-DE-VIOLENCIA-DOM%C3%89STICA-1.pdf
PY,Paraguay,PY,Ministerio de la Mujer,Informe de llamadas al 137,Violencia Doméstica/VIF,Productos/Recursos,17/04/2020,Información estadística,Informe de llamadas de atención a casos de violencia contra la mujer durante 1 al 14 de abril del 2020 y comparativo con el 2019.,http://www.mujer.gov.py/index.php/noticias/con-alto-numero-de-bromas-la-linea-137-ya-recibio-este-mes-mas-de-mil-llamadas,
HN,Honduras,HN,Instituto Nacional de la Mujer,Informe estadístico delitos de violencia doméstica y llamadas de emergencia,Violencia Doméstica/VIF,Productos/Recursos,01/05/2020,Información estadística,Estadísticas de denuncias por violencia doméstica desde el mes de enero hasta el mes de mayo de 2020.,http://www.inam.gob.hn/web/index.php?option=com_phocadownload&view=file&id=151:boletin-de-prensa-mayo&Itemid=110,
AR,Argentina,AR,Oficina de Violencia Doméstica (OVD) - Corte Suprema de Justicia de la Nación,Informe Estadístico Primer Trimestre 2020 ,Violencia Doméstica/VIF,Productos/Recursos,01/06/2020,Información estadística,Informe estadístico del primer trimestre del impacto del COVID-19 en la violencia doméstica.,http://www.ovd.gov.ar/ovd/verMultimedia?data=4144,
AR,Argentina,AR,Corte Suprema de Justicia,Informe Estadístico Primer Trimestre de 2020,Violencia Doméstica/VIF,Proyectos/Iniciativas,01/06/2020,Información estadística,"Informe estadístico de violencia doméstica durante el primer trimestre 2020, junio 2020.",http://www.ovd.gov.ar/ovd/verNoticia.do?idNoticia=4269,
SV,El Salvador,SV,Procuraduría para la Defensa de Derechos Humanos,"Informe preliminar sobre COVID-19 y Derechos Humanos, en El Salvador",Violencia Doméstica/VIF,Productos/Recursos,01/06/2020,Atención y respuesta,Informe que presenta la situación de los derechos humanos durante los primeros meses de la pandemia. Con relación a la violencia doméstica se evidencia vulneraciones a los derechos humanos referentes a: Desalojo por la falta de pago durante la emergencia nacional por COVID-19;  Falta de medidas de prevención del abuso y la violencia intrafamiliar.,https://www.pddh.gob.sv/portal/wp-content/uploads/2020/06/informe-preliminar-junio-2020.pdf,
MX,México,MX,Instituto Nacional de las Mujeres (INMUJERES),Informe sobre el impacto de la violencia contra la mujer durante la pandemia ,Violencia Doméstica/VIF,Productos/Recursos,01/05/2020,Información estadística,Informe sobre el impacto de la violencia contra la mujer durante la pandemia en el primer cuatrimestre.,https://www.gob.mx/cms/uploads/attachment/file/558770/vcm-indicadores911.pdf,
#N/D,Organismo Internacional ,OI,UNFPA,"Informe: ""La Igualdad de Género y los Esfuerzos para Hacer Frente a la Violencia de Género (VG) y la Prevención, Protección y Respuesta a la Enfermedad del Coronavirus (COVID-19)""",Violencia Doméstica/VIF,Productos/Recursos,-,Recomendaciones,La pandemia exacerbará las desigualdades de género existentes y aumentará los riesgos de violencia de género. Es necesario priorizar la protección y la promoción de los derechos de las mujeres y las niñas. Recomendaciones para una respuesta coordinada.,https://www.unfpa.org/sites/default/files/resource-pdf/COVID19-TechBrief-GBV-23Mar20.pdf,
PY,Paraguay,PY,Corte Suprema de Justicia,"Informe: ""Paraguay: Abril con cero víctimas de femicidios""",Violencia Doméstica/VIF,Productos/Recursos,04/05/2020,Información estadística,Informe sobre femicidios del 11 de marzo al 28 de abril de 2020.,http://observatorio.mujer.gov.py/application/files/4815/8870/0455/ABRIL_CON_CERO_VICTIMAS_DE_FEMINICIDIOS_EN_CUARENTENA.pdf,
PE,Perú,PE,Defensoría del Pueblo,Informe: Importancia de la aplicación del enfoque de género en las medidas tomadas por el Gobierno durante el contexto del COVID-19 ,Violencia Doméstica/VIF,Productos/Recursos,01/05/2020,Integral,"El documento contiene información sobre estándares y recomendaciones de organizaciones internacionales para incorporar el enfoque de género en el contexto de COVID-19.  Asimismo, el documento resume las disposiciones legales que el gobierno peruano a emitido en temas de trabajo doméstico no remunerado y labores de cuidado, violencia contra las mujeres, entre otros. ",https://www.defensoria.gob.pe/wp-content/uploads/2020/06/Serie-Informes-Especiales-N%C2%B0-016-2020-DP-importancia-de-la-aplicacion-del-enfoque-de-genero-en-las-medidas-tomadas-por-el-gobierno-durante-el-contexto-de-la-covid-19.pdf,
EC,Ecuador,EC,Secretaria de Derechos Humanos,Informe: La comunicación como estrategia de prevención de la violencia intrafamiliar y de género durante la emergencia sanitaria por COVID-19,Violencia Doméstica/VIF,Proyectos/Iniciativas,01/05/2020,Información estadística,Informe de la campaña digital #MujerEcuadorTeAcompaña activa desde el 18 de marzo sobre la prevención y difusión de servicios de atención y apoyo a víctimas de violencia intrafamiliar.        ,https://www.derechoshumanos.gob.ec/wp-content/uploads/2020/05/INFORME-DE-COMUNICACION-03-.pdf,
CL,Chile,CL,Ministerio de la Mujer y la Equidad de Género,Iniciativa “Contigo Mujer”,Violencia Doméstica/VIF,Proyectos/Iniciativas,12/05/2020,Prevención,Programa transmitido martes y jueves en Facebook Live que entrega orientaciones y ayuda á mujeres durante la cuarentena obligatoria.,https://minmujeryeg.gob.cl/?p=40193,
PE,Perú,PE,Ministerio de la Mujer y Poblaciones Vulnerables,"Instancias de concertación para la prevención, sanción y erradicación de la violencia contra las mujeres y los integrantes del grupo familiar frente a la emergencia sanitaria a causa del COVID-19",Violencia Doméstica/VIF,Productos/Recursos,01/05/2020,Atención y respuesta,"Marco didáctico del Decreto Legislativo No.1470 para que los Gobiernos Regionales y Locales y sus respectivas instancias de concertación continúen trabajando para prevenir, atender y proteger a las mujeres e integrantes del grupo familiar ante todo tipo de violencia. Las medidas se han dispuesto para garantizar la atención, dictar medidas de protección, recepción de comunicaciones, cumplimiento de plazos, entre otros.",https://observatorioviolencia.pe/wp-content/uploads/2020/05/FOLLETO-Instancias-de-Concertaci%C3%B3n-COVID.pdf,
EC,Ecuador,EC,"Ministerio de Educación (Mineduc), Dirección Nacional de Registro de Datos Públicos (Dinardap), Consejo Nacional de Igualdad Intergeneracional (CNII), la Asociación Ecuatoriana de Ciberseguridad (AECI) y la organización ChildFund.",Internet Segura,Ciberbullying,Planes y Programas,06/04/2020,Prevención,"Sitio web especializado en la prevención del ciberacoso, el grooming, la pornografía infantil  entre otros. La página web se alimenta de las experiencias de cada institución para promover un uso y acceso responsable de la Internet para niños, niñas y adolescentes del país.",https://www.internetsegura.gob.ec/?p=387,https://www.ecuadortv.ec/noticias/actualidad/internet-ciberseguridad-ecuador-proteccion-derechos?__cf_chl_jschl_tk__=a62c31f2b83f64a7978f77cd9e263a3408a5d2bb-1598814011-0-AYuwbqqi1JYHr9tCLQyN5hB99Ac3UCdiw6-_AfKLfuErdSnTvUniZdF34zNIiDZL6KxNdYkBHmbZ9O4Sm_OiEx7qu5h49fuaj4kRRTsdGm40hi1O-JNabSQf8Wkef-fkP94YoQM7vQcNitRXwVlan34eiX-snqLLypop9pTxlHKKkz8g1h9QXNrqBkXfpLVYzU2hU1O_RlNuiZqSZOxJmL6ehjZRx48oDEj83ed164O4t1iE1gC-kHJvGpczv9YK5WKwxgZPN2fbfW9RKsFPpgua351tu403Be3_TZn4zAYh_eq1JU_1jq-c9l8nX43-p2nuN1M-WIH3TcKwM15Qp8eVk-bmRD1-J8xuAiRtbfWAvJlLUnNU7dKnkuiXU0Y1zffLhvc5aUG0NtsyJzY5bWsJK9pHZZA3qCu7bK_KaW2I
AR,Argentina,AR,Ministerio de Justicia y Derechos Humanos,"Intervenciones domiciliarias por casos de violencia familiar - línea 137, 202006 y 202007",Violencia Doméstica/VIF,Productos/Recursos,01/07/2020,Información estadística,"Este recurso contiene las intervenciones domiciliarias por casos de violencia familiar efectuados a partir de llamados a la línea 137 en julio de 2020, en CABA. La unidad de análisis de este recurso son las víctimas (puede haber más de una víctima/fila por intervención).",http://datos.jus.gob.ar/dataset/42720e56-2274-4ad5-820d-c366d784bc8c/archivo/58e499d1-430f-41ca-b892-a73addb8e3bc,
MX,México,MX,Instituto Nacional de las Mujeres,Las vida de las mujeres y el COVID-19. Impactos  diferenciados y medidas implementadas en la Jornada de Sana Distancia,Violencia Doméstica/VIF,Proyectos/Iniciativas,15/06/2020,Integral,"Conjunto de medidas adoptadas en el contexto de la pandemia para prevenir, atender y sancionar la violencia contra la mujer. Entre estas medidas, es posible mencionar:
- continuo funcionamiento de refugios y centros de atención a mujeres víctimas de violencia, sus hijas e hijos;
- fortalecimiento de la línea de atención de emergencias 911 en las 32 entidades federativas; y, 
- constitución dentro del Grupo Interinstitucional de equipo de trabajo sobre estadísticas con el objeto de establecer un conjunto mínimo de indicadores que permitan el monitoreo oportuno de la violencia hacia las mujeres y el mejoramiento de las estadísticas en el tema.",https://www.cepal.org/sites/default/files/document/files/mex_inmujeres_medidas_implementadas_en_jornada_de_sana_distancia_200615.pdf,
BR,Brasil,BR,Congreso Nacional ,"Ley No. 13.982 de 02 de abril de 2020. Modifica la Ley No. 8.742, de 7 de diciembre de 1993, para establecer parámetros adicionales para caracterizar la situación de vulnerabilidad social a los efectos de la elegibilidad para el beneficio de prestación continua (BPC) y establece medidas excepcionales de protección social a ser adoptadas durante el período de afrontamiento de la emergencia de salud pública de importancia internacional derivada del coronavirus (COVID-19) responsable del brote de 2019, a que se refiere la Ley No. 13.979, de 6 de febrero de 2020",Violencia Doméstica/VIF,Política/Ley,02/04/2020,Atención y respuesta,Aumento del apoyo económico para mujeres proveedoras en familias monoparentales en el Programa parte del Beneficio de Prestación Continuada (BPC) con dos cuotas de asistencia de emergencia de R$600 cada una. ,http://www.planalto.gov.br/ccivil_03/_ato2019-2022/2020/lei/L13982.htm,
BR,Brasil,BR,Congreso Nacional ,"Ley No. 13.984, de 03 de abril de 2020. Modifica el Art. 22 de la Ley No. 11.340, de 7 de agosto de 2006, para establecer como medidas de protección urgentes la frecuencia del agresor en el centro de educación y rehabilitación y seguimiento psicosocial",Violencia Doméstica/VIF,Política/Ley,03/04/2020,Sanción,"Modifica el artículo 22 de la Ley No 11.340 de 7 de agosto de 2006 (Ley María da Penha), para establecer la urgente asistencia del agresor a los programas de recuperación, reeducación y seguimiento psicosocial a través de la atención individual y/o en un grupo de apoyo.",http://www.planalto.gov.br/ccivil_03/_ato2019-2022/2020/lei/L13984.htm,
