Fecha,País,Nombre de la Iniciativa,"Política, Planes, Programas, Iniciativas/Proyectos",Descripción,link
31/03/2020,México,Guía informativa de Centros de Justicia para las Mujeres,Productos/Recursos,"Guía informativa de Centros de Justicia para las Mujeres: sus ubicaciones, horarios de atención en contingencia y tipo de servicios. ",https://www.gob.mx/cms/uploads/attachment/file/544677/Info_CJM_horarios_durante_Contingencia.pdf
20/04/2020,México,Guía para ayudar a crear espacios colaborativos en la vida diaria y durante la cuarentena por COVID-19. ,Productos/Recursos,"La guía presenta información sobre roles y recomendaciones para involucrar a los hombres en el cuidado de las personas que viven en la casa y construir relaciones más igualitarias. También, se incorporan postales e información sobre nuevas masculinidades.",https://www.gob.mx/cms/uploads/attachment/file/546960/GuiaMasculinidades.pdf
13/05/2020,México,"Guía informativa ""No Estás Sola, Convivencia sin violencia""",Productos/Recursos,"Documento que permite identificar diversas situaciones sobre violencia familiar, describir el ciclo de la violencia y proporcionar información sobre lo que se puede hacer si se vive violencia o si otras mujeres viven violencia. Comisión Nacional para la prevenir y erradicar la violencia contra las mujeres. ",https://www.gob.mx/cms/uploads/attachment/file/551904/folleto__1_.pdf
02/04/2020,México,Solicitud servicios oficio CNPEVM/228/2020. Medidas del Poder Judicial frente a la violencia y acceso a la justicia para las mujeres,Proyectos/Iniciativas,"Acuerdos de los Tribunales Superiores de Justicia de las 32 entidades federativas ante la pandemia de coronavirus COVID-19. En materia de violencia doméstica, la guía establece las medidas adoptadas por las entidades en materia de solicitud de servicios de separación provisional de personas, depósitos de menores de edad, medidas de protección a mujeres que viven violencia, juicio de alimentos y consignación y entrega de billetes o depósitos. Salvo excepciones (Guerrero), se mantienen en funcionamiento todos los servicios. ",https://www.gob.mx/cms/uploads/attachment/file/544769/TSJ_.pdf
30/05/2020,México,Curso en línea gratuito para la atención de la violencia familiar en el contexto del COVID-19,Proyectos/Iniciativas,"Curso que tiene por finalidad brindar herramientas para la intervención en casos de violencia familiar durante la pandemia por COVID-19. El curso está dirigido a profesionistas de psicología, medicina, trabajo social y enfermería.",http://www.cij.gob.mx/galeriacursoscapacitacion2020/cartel_atenviofam.pdf
28/05/2020,México,"#NoEstásSola, contra la violencia hacia las mujeres en el hogar",Planes y Programas,"La Iniciativa Spotlight en México, Programa de Naciones Unidas y la Unión Europea con el Gobierno de México para la prevención y eliminación del feminicidio, lanza el video #NoEstásSola, enfocado en la prevención de la violencia contra las mujeres en el hogar, en el marco de las acciones emergentes en la materia en tiempos de COVID-19. En materia atención y respuesta ponen a disposición número, teléfonos y direcciones a dónde acudir para obtener mayor información o asistencia directa por casos de violencia intrafamiliar/doméstica. ",http://www.spotlightinitiative.org/es/news/noestassola-contra-la-violencia-hacia-las-mujeres-en-el-hogar
15/05/2020,México,Capacitación en línea a servidores públicos y otros actores sociales que atienden a mujeres en situación de violencia,Proyectos/Iniciativas,"Capacitación a profesionales y servidores públicos a fin de brindarles herramientas en materia psicológica para fortalecer la atención telefónica y en línea. El curso ""Estrategias de atención telefónica a personas en situaciones de violencia derivadas por el confinamiento por la contingencia de COVID-19” comprende cinco módulos realizados del 14 al 28 de mayo del 2020. ",https://www.gob.mx/indesol/prensa/indesol-atiende-violencia-de-manera-integral-durante-cuarentena-por-covid-19
21/05/2020,México,"Infografía: ""Violencia familiar y de género ¿qué debo hacer? Principios de actuación""",Productos/Recursos,"Principios de actuación para los funcionarios que atienden por primera vez a una denunciante de violencia familia y de género. Establece la guía de actuación, evaluación de riesgo y acciones a tomar. ",https://www.gob.mx/cms/uploads/attachment/file/553307/infografia_1.violencia_familiar_y_de_genero.pdf
14/05/2020,México,"Campaña: “Hombres en Sana Convivencia: en esta contingencia, cuidar hace la diferencia”. #YoMeSumoAlaIgualdad",Proyectos/Iniciativas,"El Instituto Nacional de las Mujeres se sumó a la campaña nacional ""Hombres en Sana Convivencia: en esta contingencia, cuidar hace la diferencia"" con el objetivo de promover una convivencia libre de violencia dentro de las familias. La campaña incluye infografías y vídeos. #YoMeSumoAlaIgualdad.",https://www.gob.mx/inmujeres/articulos/el-inmujeres-se-suma-a-campana-para-terminar-con-la-violencia-contra-la-mujer?idiom=es
19/05/2020,México,"Diálogo virtual: ""Prevenir es convivir""",Proyectos/Iniciativas,"El  evento forma parte de un esquema denominado Diálogos Virtuales sobre temas que ha impulsado la Secretaría de Gobernación a través del Instituto Nacional para el Federalismo y el Desarrollo Municipal (Inafed) durante la coyuntura como un nuevo modelo de capacitación para las personas servidoras públicas estatales y municipales, a fin de acercar el conocimiento a quienes participan en la administración pública local. Se abordó la importancia de erradicar la violencia contra las mujeres y en segundo lugar las labores y tareas compartidas en el hogar. ",https://www.gob.mx/segob/prensa/pandemia-por-covid-19-puso-en-el-centro-la-erradicacion-de-las-violencias-y-tareas-compartidas-entre-mujeres-y-hombres-olga-sanchez-cordero
25/03/2020,México,"Mesa de Diálogo: ""Prevención de la violencia familiar en tiempos de contingencia""",Proyectos/Iniciativas,Video conferencia sobre el manejo de las emociones y las manifestaciones en el ámbito familiar durante la pandemia.,https://www.youtube.com/watch?v=F4bViaTRooE
01/06/2020,México,"Folleto: ""Te cuento una buena historia. Mini-relatos de mujeres que superaron la violencia""",Productos/Recursos,Folleto que cuenta relatos de mujeres que han conseguido salir de ciclos de violencia. Narrado en primera persona y basado en experiencias reales. ,https://www.gob.mx/cms/uploads/attachment/file/560342/TECUENTOHOY_c.pdf
01/04/2020,México,Observaciones sobre Violaciones a Derechos Humanos durante la Contingencia Sanitaria por COVID-19,Proyectos/Iniciativas,"Documento informativo con las medidas adoptadas para prevenir y atender las violencias en el hogar durante la contingencia sanitaria, entre ellas:
- difundir acciones de prevención de las violencias a través de opciones de convivencias sanas y en paz, desarrollo de habilidades de diálogo, medidas de prevención del embarazo adolescente y ejercicio de los derechos sexuales y reproductivos;
- campañas de reconocimiento del trabajo de cuidados y de reconocimiento del trabajo doméstico colaborativo;
- concentrar en la Plataforma Nacional de Servicios la atención a las violencias que brinda las instituciones del Estado Mexicano, así como verificar y monitorear su adecuado funcionamiento; y,
- unificación de los esfuerzos de canalización de víctimas de violencia a través de la línea de emergencia nacional del 911 y capacitación de operadores.",https://www.gob.mx/cms/uploads/attachment/file/549605/OBSERVACIONES_SOBRE_VIOLACIONES_A_DERECHOS_HUMANOS_DURANTE_LA_CONTINGENCIA_SANITARIA_POR_COVID-19__1___1_.pdf
28/04/2020,México,Sitio web COVID-19 con perspectiva de género,Proyectos/Iniciativas,"Directorio telefónico y sitios dónde acudir en caso de sufrir violencia familiar, acoso o abuso sexual. ",https://coronavirus.gob.mx/violencia-de-genero/
07/04/2020,México,"Lineamientos de Operación del Programa de Apoyo para Refugios Especializados para Mujeres Víctimas de Violencia de Género, sus Hijas e Hijos, para el ejercicio fiscal 2020",Planes y Programas,"Fortalecimiento del Programa de Apoyo para Refugios Especializados para Mujeres Víctimas de Violencia de Género, sus Hijas e Hijos, a través del traspaso de fondos y recursos presupuestarios. ",http://dof.gob.mx/nota_detalle.php?codigo=5591242&fecha=07/04/2020
15/06/2020,México,Las vida de las mujeres y el COVID-19. Impactos  diferenciados y medidas implementadas en la Jornada de Sana Distancia,Proyectos/Iniciativas,"Conjunto de medidas adoptadas en el contexto de la pandemia para prevenir, atender y sancionar la violencia contra la mujer. Entre estas medidas, es posible mencionar:
- continuo funcionamiento de refugios y centros de atención a mujeres víctimas de violencia, sus hijas e hijos;
- fortalecimiento de la línea de atención de emergencias 911 en las 32 entidades federativas; y, 
- constitución dentro del Grupo Interinstitucional de equipo de trabajo sobre estadísticas con el objeto de establecer un conjunto mínimo de indicadores que permitan el monitoreo oportuno de la violencia hacia las mujeres y el mejoramiento de las estadísticas en el tema.",https://www.cepal.org/sites/default/files/document/files/mex_inmujeres_medidas_implementadas_en_jornada_de_sana_distancia_200615.pdf
31/03/2020,México,Acuerdo por el que se establecen acciones extraordinarias para atender la emergencia sanitaria generada por el virus SARS-CoV-2,Proyectos/Iniciativas,"Acuerdo que establece las medidas de acción extraordinarias para atender la emergencia sanitaria. Específicamente, establece a los centros de atención a mujeres víctimas de violencia, sus hijas e hijos como servicios básicos esenciales para mantener su funcionamiento.",https://www.dof.gob.mx/nota_detalle.php?codigo=5590914&fecha=31/03/2020
01/04/2020,México,Mujeres atendidas en los Centros de Justicia para las Mujeres,Productos/Recursos,Mujeres atendidas en los Centros de Justicia para las Mujeres durante el primer trimestre de 2019 y 2020.,https://www.gob.mx/cms/uploads/attachment/file/550855/Mujeres_atendidas_en_CJM_2019_2020.pdf
01/06/2020,México,"Reporte ""Información sobre violencia contra las mujeres. Incidencia delictiva y llamadas de emergencia 9-1-1""",Productos/Recursos,"Reporte mensual desde el año 2018 que tiene como objetivo poner a disposición de la sociedad los datos estadísticos sobre violencia contra las mujeres a fin de conocer la magnitud, tendencia y ubicación geográfica de las conductas y acciones que atentan en contra de este grupo de población. Los datos estadísticos están basados en la información de incidencia delictiva y estadísticas de llamadas de emergencia al número único 9-1-1. ",https://drive.google.com/file/d/1wG6qya31zzz4m1YUgowZWSSH0z748HDt/view
01/05/2020,México,Informe sobre el impacto de la violencia contra la mujer durante la pandemia ,Productos/Recursos,Informe sobre el impacto de la violencia contra la mujer durante la pandemia en el primer cuatrimestre.,https://www.gob.mx/cms/uploads/attachment/file/558770/vcm-indicadores911.pdf
16/04/2020,Nicaragua,Relanzamiento de la Comisaría de la Mujer,Proyectos/Iniciativas,"Relanzamiento de la Comisaría de la Mujer, en León.",https://www.policia.gob.ni/?p=49021
12/07/1905,Organismo Internacional ,Cómo contribuir a crear espacios y hogares igualitarios ante la emergencia por COVID-19. Recomendaciones y orientaciones prácticas para hombres,Productos/Recursos,"#HeForSheEnCasa es una campaña que promueve la creación de espacios igualitarios y libres de violencia en el hogar. A través de esta guía, los hombres guatemaltecos pueden encontrar información sobre los beneficios de asumir su responsabilidad en este ámbito.",https://lac.unwomen.org/es/digiteca/publicaciones/2020/05/heforsheencasa-guatemala
17/07/2020,Panamá,"Campaña: ""#NoestásSola""",Proyectos/Iniciativas,Campaña de prevención de violencia doméstica #NoestásSola.,https://twitter.com/MIDESPma/status/1284179644858630144?s=20
01/07/2020,Panamá,Plan de reactivación económica. Propuesta de medidas para la reactivación económica con enfoque de género ,Proyectos/Iniciativas,"Medidas dirigidas para atender y proteger contra la violencia contra las mujeres. 
- Implementar sistemas de ayuda especiales (bonos o similares) para mujeres jefas de hogar. 
- Incorporar en los programas de transferencia monetarias u otros sistemas de ayudas a las mujeres víctimas de violencia.",https://www.mides.gob.pa/wp-content/uploads/2020/07/BID_Plan-Reactivacio%C3%ACn-Econo%C3%ACmica.pdf
01/06/2020,Panamá,Informe de acciones en el marco de la crisis de salud nacional por COVID-19,Proyectos/Iniciativas,"Alianzas con Más Móvil y Movistar para la divulgación por mensajería instantánea de los números telefónicos y correos electrónicos para denunciar la violencia doméstica y atención a la salud mental. Capacitaciones a equipos multidisciplinarios sobre prevención de violencias.
",https://www.mides.gob.pa/wp-content/uploads/2020/06/Informe-de-Acciones-COVID-19.pdf
01/05/2020,Panamá,"INAMU Informa, Edición Abril ",Proyectos/Iniciativas,"Informe con medidas realizadas por el Instituto Nacional por la Mujer y otras instituciones públicas para enfrentar la violencia doméstica/VCM:
- Líneas telefónicas de red de instituciones protectoras. 
- Convenio con Crime Stoppers para presentar denuncias de forma anónima y alternativa. 
- Campaña NoEstásSola
Incluye información estadística sobre llamadas a números de emergencia.",https://inamu.gob.pa/wp-content/uploads/2020/05/BOLETIN-INAMU-copia-3.pdf
12/04/2020,Panamá,Habilitación de correo electrónico y líneas telefónicas para atención de violencia doméstica y maltrato al menor,Proyectos/Iniciativas,El Ministerio Público habilita mecanismos que buscan facilitar el acceso a los servicios de las diferentes Fiscalías de Familia a nivel nacional para atender consultas y brindar asistencia a las personas víctimas de violencia doméstica y maltrato al menor de edad. ,https://ministeriopublico.gob.pa/mp-habilita-correo-electronico-y-lineas-telefonicas-para-atencion-de-violencia-domestica-y-maltrato-al-menor/
01/06/2020,Panamá,"Guía de orientación para mujeres que se encuentren en situación de violencia doméstica, en el marco de la pandemia por COVID-19",Productos/Recursos,"Guía para orientación de acciones que pueden estar o sufren de violencia doméstica. Brinda información general sobre violencia doméstica, apoyo emocional, asesoramiento jurídico y lugares de asistencia. ",https://inamu.gob.pa/wp-content/uploads/2020/06/GUIA-3-F.pdf
01/07/2020,Panamá,Delitos de violencia doméstica,Productos/Recursos,"Estadísticas mensuales de violencia doméstica. Segundo link, variación porcentual de violencia de violencia doméstica. Año 2019 y 2020.",https://ministeriopublico.gob.pa/estadisticas-judiciales/violencia-domestica/
09/05/2020,Paraguay,Capacitaciones al personal policial sobre violencia intrafamiliar en el marco del Programa Gestión Integrada de Seguridad Ciudadana,Proyectos/Iniciativas,"Fortalecimiento de las capacitaciones al personal policial en Comisarías sobre Violencia Intrafamiliar. Para ello, se acordó entre el Ministerio del Interior y Ministerio de la Mujer trabajar en el ajuste de las capacitaciones y afianzar la cooperación entre ambas instituciones. ",http://www.mdi.gov.py/index.php/component/k2/item/12273-ministerio-del-interior-fortalece-abordaje-de-capacitaciones-al-personal-policial-sobre-violencia-intrafamiliar
29/04/2020,Paraguay,Diálogo Técnico Subregional sobre Violencia Intrafamiliar en el contexto del COVID-19,Proyectos/Iniciativas,El Ministerio Público de Paraguay participó del Dialogo Técnico Subregional “Abordaje Policial y Judicial a la Violencia Intrafamiliar en el Contexto del COVID-19”.,https://ministeriopublico.gov.py/nota/ministerio-publico-participo-via-teleconferencia-del-dialogo-tecnico-subregional-sobre-violencia-intrafamiliar-en-el-contexto-del-covid-19-5373
28/05/2020,Paraguay,Capacitaciones al personal policial en manejo del Sistema de Información sobre denuncias de violencia intrafamiliar,Proyectos/Iniciativas,Capacitación sobre manejo del sistema de información y estadística sobre violencia familiar a agentes de la policía especialistas en Violencia Intrafamiliar.  Se espera que las capacitaciones abarquen todas las divisiones del departamento central y capital del país.,http://www.mdi.gov.py/index.php/component/k2/item/12316-ministerio-del-interior-capacita-a-agentes-de-la-policia-en-manejo-del-sistema-de-informaci%C3%B3n-sobre-denuncias-de-violencia-intrafamiliar
29/07/2020,Paraguay,Resolución No.8 230/2020. Medidas en el órgano judicial durante la pandemia,Proyectos/Iniciativas,"Habilita a Los Juzgados de Paz para atender casos de violencia doméstica y en especial los permisos de salida del país de menores de edad.   
Art. 6º. Los Juzgados de Paz habilitarán sus servicios única y exclusivamente para los casos de permisos para viajar de niños y adolescentes, así como casos de violencia familiar. Los Magistrados arbitrarán el mecanismo necesario para que, de presentarse alguna de las situaciones mencionadas, los mismos sean convocados para resolver lo que corresponda.",https://www.pj.gov.py/ebook/libros_files/acordadas-disposiciones-covid-19-iij.pdf
04/05/2020,Paraguay,"Informe: ""Paraguay: Abril con cero víctimas de femicidios""",Productos/Recursos,Informe sobre femicidios del 11 de marzo al 28 de abril de 2020.,http://observatorio.mujer.gov.py/application/files/4815/8870/0455/ABRIL_CON_CERO_VICTIMAS_DE_FEMINICIDIOS_EN_CUARENTENA.pdf
17/04/2020,Paraguay,Informe de llamadas al 137,Productos/Recursos,Informe de llamadas de atención a casos de violencia contra la mujer durante 1 al 14 de abril del 2020 y comparativo con el 2019.,http://www.mujer.gov.py/index.php/noticias/con-alto-numero-de-bromas-la-linea-137-ya-recibio-este-mes-mas-de-mil-llamadas
31/03/2020,Paraguay,"Prórroga automática de las medidas de protección judicialmente 
decretadas a favor de las víctimas de violencia, en el marco de las 
disposiciones contenidas de la Ley 5777/2016",Proyectos/Iniciativas,"Las prórrogas de las medidas de protección judicialmente decretadas a favor de las víctimas de violencia, deberán ser requeridas por la parte afectada, ante los Juzgados de Paz competentes, que se encuentran habilitados conforme lo dispuesto por el Art. 22 de la Acordada N.º 1.366 cuyos plazos fueron extendidos por Acordada N.º 1.370.",http://www.mujer.gov.py/index.php/noticias/prorrogas-de-medidas-de-proteccion-deberan-ser-solicitadas-por-cada-victima
17/03/2020,Paraguay,Protocolo de prevención y atención a mujeres víctimas/sobrevivientes de violencia del ministerio de la mujer ante la situación de emergencia coronavirus (COVID-19),Proyectos/Iniciativas,"El protocolo establece el marco de acciones de los servicios e instituciones intervinientes en la prevención, atención y protección de la violencia contra la mujer. En detalle, establece que los servicios de recepción de llamadas vía telefónica de la línea SOS mujer 137 estarán disponibles las 24 horas, todos los días del año, las líneas SEDAMUR para recepción de llamadas vía telefónica estarán disponibles en horarios de 09:00 a 14:00 horas de lunes a viernes y la recepción vía on line será 24 horas, todos los días del año.",http://www.mujer.gov.py/application/files/3215/8473/5511/PROTOCOLO_PREVENCION_Y_ATENCION_COVID_19_MINMUJER.pdf.pdf
16/06/2020,Paraguay,"Campaña: ""Metete, podemos evitar más feminicidios”",Proyectos/Iniciativas,"Se retomó e impulso la Campaña ""Metete, podemos evitar más feminicidios"" con el objetivo de  sensibilizar a la población para actuar contra la violencia hacia las mujeres en el país. ",http://www.mujer.gov.py/index.php/noticias/en-cuarentena-aumentaron-78-las-llamadas-sobre-violencia-hacia-la-mujer
15/04/2020,Paraguay,Hackathon Kuña Mbaretech - Kuñanguérape g̃uarä,Proyectos/Iniciativas,"Hackathon enfocada en los desafíos de las mujeres y, al mismo tiempo, la primera realizada en formato 100% virtual. Uno de los pilares es la prevención de la violencia contra las mujeres. ",http://www.ciudadmujer.gov.py/index.php/noticias/la-hackathon-kuna-mbaretech-arranca-manana-de-forma-virtual
01/08/2020,Paraguay,Información estadística sobre víctimas de femicidio,Productos/Recursos,Estadísticas de violencia contra la mujer y datos geolocalizados actualizados a julio de 2020.,http://201.217.12.78/datos/
15/05/2020,Perú,Decreto legislativo que establece medidas para garantizar la atención y protección de las víctimas de violencia contra las mujeres y los integrantes del grupo familiar durante la emergencia sanitaria por COVID-19,Proyectos/Iniciativas,"El decreto legislativo tiene por objeto establecer medidas específicas para reforzar la actuación del Poder Judicial y garantizar, así, la atención de casos de violencia contra las mujeres e integrantes del grupo familiar durante la emergencia sanitaria ocasionada por el COVID-19. Las medidas incluyen habilitar los Juzgados de familia para tramitar procesos relacionados a medidas protección y/o cautelares, posibilitar la presentación de denuncias por correo electrónico, disponer de turnos de 24 horas en los juzgados de familia para atender denuncias contra la mujer e integrantes del grupo familiar que ingresen en fines de semana o días no laborales, autorizar trabajo remoto para Juzgados de familia y salas de familia y disponer que las notificaciones emitidas en los procesos  puedan enviarse por medio de la casilla electrónica o, en su defecto, cualquier medio de comunicación incluyendo WhatsApp, camscanner o similar.",https://observatorioviolencia.pe/wp-content/uploads/2020/05/1866366-1.pdf ;  https://www.pj.gob.pe/wps/wcm/connect/cortesuperiorlimapjcs/s_csj_lima_nuevo/as_inicio/as_imagen_prensa/as_noticias/csjli_n_violencia_contra_mujer_whatsapp_190520
10/05/2020,Perú,Orientaciones para la prevención o atención de casos de violencia contra la mujer e integrantes del grupo familiar,Productos/Recursos,"Infografías, folletos, spots y vídeos con información para prevenir y atender casos de violencia doméstica, promover la igualdad en tareas del hogar e identificar conductas de violencia.",https://observatorioviolencia.pe/el-observatorio/nuevocovid19/#1588647099723-b9a7ccb8-9220
15/04/2020,Perú,Recomendaciones para prevenir la violencia sexual contra mujeres durante el estado de emergencia,Productos/Recursos,Recomendaciones para prevenir la violencia sexual contra las mujeres durante el estado de emergencia por COVID-19.,http://www.mimp.gob.pe/files/Cartilla_prevencion.pdf
17/05/2020,Perú,"Campaña: ""No estas Sola""",Proyectos/Iniciativas,"Iniciativa público-privada para prevenir y atender la violencia en la Emergencia Sanitaria. La iniciativa comprende una campaña informativa, orientaciones para la atención de casos de violencia y derivación a los servicios de atención del MIMP.",https://observatorioviolencia.pe/no-estas-sola-prevenir-violencia/
15/06/2020,Perú,Monitoreo del Estado de Emergencia: feminicidio y feminicidio en grado de tentativa del 16 de marzo al 31 de mayo de 2020,Productos/Recursos,"Monitoreo del accionar del Ministerio Público en el Marco de la Emergencia. Incluye una descripción desde el lado humano de las víctimas (hijos, educación, tipo de muerte) y generales de los victimarios.",https://observatorioviolencia.pe/wp-content/uploads/2020/06/Estadistica-Feminicidio-monitoreo-del-accionar-del-Ministerio-P%C3%BAblico-en-el-marco-de-la-declaraci%C3%B3n-del-Estado-de-Emergencia-ante-el-brote-del-COVID-19.pdf
08/05/2020,Perú,Decreto No. 023-2020 de Urgencia que crea mecanismos de prevención de la violencia contra las mujeres e integrantes del grupo familiar,Planes y Programas,"El decreto tiene por objeto establecer mecanismo de prevención de la violencia contra las mujeres e integrantes del grupo familiar, desde el conocimiento de los antecedentes policiales, con la finalidad que las personas puedan tomar una decisión informada respecto a su proyecto de vida, cautelando su derecho fundamental a la integridad y a una vida libre de violencia.",https://busquedas.elperuano.pe/download/url/decreto-de-urgencia-que-crea-mecanismos-de-prevencion-de-la-decreto-de-urgencia-n-023-2020-1848881-2
17/04/2020,Perú,Vivamos el aislamiento con igualdad,Productos/Recursos,"Brinda información sobre líneas telefónicas, prevención de riesgos, conductas de violencia doméstica, estereotipos de género y promoción de los roles compartidos en el hogar. ",http://www.mimp.gob.pe/files/cartilla-vivamos-aislamiento-con-igualdad.pdf
01/05/2020,Perú,Yo me quedo en casa de forma segura,Productos/Recursos,Mensajes y acciones de sensibilización para prevenir la violencia y promover la igualdad.,https://youtu.be/DgAQ4ROkLxs
02/07/2020,Perú,Ideatón: prevención de la violencia contra las mujeres,Proyectos/Iniciativas,"El evento tiene como objetivo crear un espacio para generar propuestas de innovación tecnológica para prevenir la violencia contra las mujeres y mejorar la atención a las víctimas, con énfasis en la prevención del feminicidio.",https://observatorioviolencia.pe/primera-ideaton-en-el-peru-prevencion-de-la-violencia-contra-las-mujeres/
01/04/2020,Perú,"Infografía: ""Casos atendidos por los CEM según tipo de violencia, marzo de 2019 a marzo de 2020""",Productos/Recursos,Infografía sobre casos atendidos por los CEM comparado los periodos de marzo 2019 vs 2020.,https://observatorioviolencia.pe/wp-content/uploads/2020/04/violencia-casos-atentido.jpeg
26/04/2020,Perú,Decreto Legislativo No. 1470. Establece medidas para garantizar la atención y protección de las víctimas de violencia contra las mujeres y los integrantes del grupo familiar durante la emergencia sanitaria declarada por el COVID-19,Política/Ley,"Decreto legislativo que establece medidas para garantizar la atención y protección de las víctimas de violencia contra las mujeres y los integrantes del grupo familiar durante la emergencia sanitaria por COVID-19.  Entre las medidas están: medidas que garantizan la atención de las mujeres como mantenimiento y continuidad de los servicios, medidas que garantizan las condiciones para dictar medidas de protección y/o cautelares con la información que se tenga disponible, utilización de cualquier recurso tecnológico para comunicarse con la víctima, brindar información y notificar en el acto a la Comisaría para su ejecución, extensión de plazos y cómputo en los procesos iniciados durante la emergencia sanitaria para procedimientos de riesgo y desprotección familiar mientras dura la emergencia, medidas que garantizan que los casos de violencia sean atendidos en un plazo no mayor de 24 horas y utilización de los canales y sistemas de comunicación de emergencia. ",https://busquedas.elperuano.pe/normaslegales/decreto-legislativo-que-establece-medidas-para-garantizar-la-decreto-legislativo-n-1470-1865791-1/
01/05/2020,Perú,"Instancias de concertación para la prevención, sanción y erradicación de la violencia contra las mujeres y los integrantes del grupo familiar frente a la emergencia sanitaria a causa del COVID-19",Productos/Recursos,"Marco didáctico del Decreto Legislativo No.1470 para que los Gobiernos Regionales y Locales y sus respectivas instancias de concertación continúen trabajando para prevenir, atender y proteger a las mujeres e integrantes del grupo familiar ante todo tipo de violencia. Las medidas se han dispuesto para garantizar la atención, dictar medidas de protección, recepción de comunicaciones, cumplimiento de plazos, entre otros.",https://observatorioviolencia.pe/wp-content/uploads/2020/05/FOLLETO-Instancias-de-Concertaci%C3%B3n-COVID.pdf
19/04/2020,Perú,Protocolo para la ruta de Atención Itinerante Urgente en las zonas rurales,Proyectos/Iniciativas,Activación del Protocolo para la Atención Itinerante Urgente en las zonas rurales con personal especializado en la estrategia Rural para la identificación de casos de violencia en las comunidades rurales e indígenas. ,https://www.mimp.gob.pe/contigo/contenidos/pncontigo-nota-prensa.php?codigo=930
10/05/2020,Perú,Infografía ¿Cómo supero Tatiana sus miedos y temores durante el aislamiento?,Productos/Recursos,Recomendaciones de mantener comunicación y conversar con la pareja para superar el estrés y la ansiedad durante la cuarentena.,https://observatorioviolencia.pe/wp-content/uploads/2020/05/comic2_final.jpg
10/05/2020,Perú,¿Qué situaciones son violencia contra las mujeres y el grupo familiar?,Productos/Recursos,Identifica acciones violentas y ofrece recomendaciones para pedir ayuda.,https://observatorioviolencia.pe/wp-content/uploads/2020/05/comic1_final.jpg
04/05/2020,Perú,¿Qué pasó con ellas durante el aislamiento obligatorio? Reporte Igualdad y Violencia No. 04 mayo 2020 ,Productos/Recursos,Comparativo mensual de mujeres reportadas como desaparecidas  y femicidios durante la pandemia durante los meses de abril y mayo.,https://www.defensoria.gob.pe/wp-content/uploads/2020/06/Qu%C3%A9-pas%C3%B3-con-ellas-durante-la-cuarentena-mayo.pdf
01/05/2020,Perú,Informe: Importancia de la aplicación del enfoque de género en las medidas tomadas por el Gobierno durante el contexto del COVID-19 ,Productos/Recursos,"El documento contiene información sobre estándares y recomendaciones de organizaciones internacionales para incorporar el enfoque de género en el contexto de COVID-19.  Asimismo, el documento resume las disposiciones legales que el gobierno peruano a emitido en temas de trabajo doméstico no remunerado y labores de cuidado, violencia contra las mujeres, entre otros. ",https://www.defensoria.gob.pe/wp-content/uploads/2020/06/Serie-Informes-Especiales-N%C2%B0-016-2020-DP-importancia-de-la-aplicacion-del-enfoque-de-genero-en-las-medidas-tomadas-por-el-gobierno-durante-el-contexto-de-la-covid-19.pdf
04/05/2020,Perú,Vivamos sin violencia también en emergencia ,Productos/Recursos,"Pautas para prevenir situaciones de violencia en las parejas y familias durante el estado de emergencia. Las recomendaciones abarcan recomendaciones para evitar y manejar conflictos en el hogar y relación de pareja, protección de los hijos/as y servicios esenciales de atención contra la violencia.",https://observatorioviolencia.pe/wp-content/uploads/2020/04/Cartilla-Vivamos-sin-violencia-tambien-en-emergencia.pdf
01/06/2020,Perú,Cartilla de orientación para casos de violencia hacia las mujeres e integrantes del grupo familiar durante el COVID-19,Proyectos/Iniciativas,Cartilla de orientación para casos de violencia hacia las mujeres e integrantes del grupo familiar durante la cuarentena.,https://cdn.www.gob.pe/uploads/document/file/701489/Cartilla_de_orientacio%CC%81n_para_casos_de_violencia_COVID-19.pdf
01/06/2020,Perú,Programa Nacional para la Prevención y Erradicación de la Violencia contra las Mujeres e Integrantes del Grupo Familiar - Aurora,Productos/Recursos,Estadísticas sobre líneas de atención y emergencia durante la pandemia por COVID-19.,http://asista.pncvfs.gob.pe/images/UGIGC/BV2020/BV%20Junio%202020.pdf
01/07/2020,Perú,Violencia contra la mujer e integrantes del grupo Familiar,Productos/Recursos,Estadísticas de violencia intrafamiliar de diciembre 2015 a mayo 2020.,https://scc.pj.gob.pe/wps/wcm/connect/Genero/s_cgen/as_estadistica/as_mapa_violencia_fam/
01/06/2020,Perú,Resumen estadístico del test - acoso virtual,Productos/Recursos,Resumen estadísticos de los test de acoso virtual.,http://www.noalacosovirtual.pe/estadisticas/Reporte-estadistico-de-Test-2020.pdf
01/06/2020,Perú,Resumen estadístico de alertas contra el acoso virtual,Productos/Recursos,Resumen estadístico de las alertas de acoso virtual.,http://www.noalacosovirtual.pe/estadisticas/Reporte-estadistico-de-Acoso-virtual-2020.pdf
01/05/2020,Perú,Feminicidio de Enero a Mayo del 2020,Productos/Recursos,Estadísticas de feminicidios desde el 2018 al 2020 (acumulativo).,https://www.pj.gob.pe/wps/wcm/connect/9071820042c1cfa4a905bdbcb58708b2/feminix3+%281%29.pdf?MOD=AJPERES&CACHEID=9071820042c1cfa4a905bdbcb58708b2
